arm,n_missions,DSR,EDT_censored,EDT_median,EDT_conditional,P(T<=30),P(T<=60),P(T<=90),P(T<=120),P(T<=180),mean_flight_distance_m,mean_energy_wh,mean_search_minutes,mean_unique_cells_searched,mean_redundant_search_ops,mean_n_replans,mean_replan_ms_total,mean_n_swaps
A,24.0,0.16666666666666666,169.16666666666666,180.0,115.0,0.0,0.0,0.0,0.125,1.0,70513.74555642826,898.0137171568045,157.79166666666666,40.791666666666664,11.5,1.0,628.1651208342206,11.041666666666666
B,24.0,0.25,157.66666666666666,180.0,90.66666666666667,0.0,0.041666666666666664,0.16666666666666666,0.20833333333333334,1.0,74782.08134121531,808.5338553620109,121.91666666666667,23.583333333333332,16.958333333333332,12.833333333333334,431.38730416580984,13.5
C,24.0,0.20833333333333334,152.04166666666666,180.0,45.8,0.125,0.125,0.125,0.20833333333333334,1.0,66980.98952922747,810.292676651227,138.08333333333334,34.291666666666664,11.458333333333334,1.0,634.4277041658491,10.083333333333334
D,24.0,0.2916666666666667,145.375,180.0,61.285714285714285,0.125,0.16666666666666666,0.20833333333333334,0.25,1.0,70412.90895335749,750.3976357111081,112.25,20.25,17.041666666666668,11.833333333333334,390.67429166410267,12.375
E|stationary-target,24.0,0.125,169.5,180.0,96.0,0.0,0.0,0.08333333333333333,0.08333333333333333,1.0,84593.57031146377,881.9931668964633,129.29166666666666,38.875,4.208333333333333,13.75,453.6473583350092,14.541666666666666
