control,treatment,metric,n_pairs,mean_ctrl,mean_trt,diff,ci_lo,ci_hi,p_boot,p_mcnemar
A,B,detected,24,0.16666666666666666,0.25,0.08333333333333333,-0.125,0.2916666666666667,0.5772,0.7265625
A,B,EDT_censored,24,169.16666666666666,157.66666666666666,-11.5,-32.333333333333336,8.128124999999955,0.2616,
A,C,detected,24,0.16666666666666666,0.20833333333333334,0.041666666666666664,-0.16666666666666666,0.25,0.8428,1.0
A,C,EDT_censored,24,169.16666666666666,152.04166666666666,-17.125,-45.126041666666666,6.833333333333333,0.1668,
A,D,detected,24,0.16666666666666666,0.2916666666666667,0.125,-0.125,0.375,0.374,0.5078125
A,D,EDT_censored,24,169.16666666666666,145.375,-23.791666666666668,-51.91770833333333,0.9604166666666364,0.058,
B,D,detected,24,0.25,0.2916666666666667,0.041666666666666664,-0.16666666666666666,0.25,0.8488,1.0
B,D,EDT_censored,24,157.66666666666666,145.375,-12.291666666666666,-38.333333333333336,12.085416666666637,0.3528,
