arm,k,n,detected_est,detected_ci_lo,detected_ci_hi
A,4,24,0.16666666666666666,0.06678676323880131,0.3585307066723715
B,6,24,0.25,0.11999366221454495,0.4489944402188346
C,5,24,0.20833333333333334,0.09244825346874064,0.4047045327035356
D,7,24,0.2916666666666667,0.14914648188718538,0.49167693680729774
