detected,detect_time_min,horizon_min,flight_distance_m,energy_wh,search_minutes,unique_cells_searched,total_search_ops,redundant_search_ops,n_swaps,n_replans,replan_ms_total,planner,initial_model,area_name,seed,replicate,arm,target_profile,elapsed_before_min,n_uavs,moving_target
False,,180.0,95246.64975784258,945.9966109553135,135.0,21,45,24,16,14,392.2222000082911,rolling,custom,demo_valley,3000,0,eps=0.0,photographer,66.0,2,True
True,105.0,180.0,54809.71954904919,555.2271791693939,82.0,22,27,5,8,9,487.0180999969307,rolling,custom,demo_valley,3001,1,eps=0.0,injured,35.0,2,True
False,,180.0,76096.32571005792,894.646122181971,142.0,21,47,26,17,15,434.43289999868284,rolling,custom,demo_valley,3002,2,eps=0.0,hiker,61.0,2,True
False,,180.0,88736.48956763542,932.0801948017167,135.0,22,45,23,15,14,331.9948000007571,rolling,custom,demo_valley,3003,3,eps=0.0,hiker,31.0,2,True
False,,180.0,101715.85481715604,991.1692267202244,132.0,12,44,32,14,14,544.9897000025885,rolling,custom,demo_valley,3004,4,eps=0.0,photographer,74.0,2,True
False,,180.0,101700.0223639023,986.5186563879749,135.0,22,45,23,14,13,471.5161999984048,rolling,custom,demo_valley,3005,5,eps=0.0,desoriented,38.0,2,True
False,,180.0,92936.10857245425,938.6196748076824,129.0,30,43,13,15,14,495.57269999695563,rolling,custom,demo_valley,3006,6,eps=0.0,injured,52.0,2,True
False,,180.0,94537.55096302468,947.6978544691385,138.0,23,46,23,16,15,525.0838000010845,rolling,custom,demo_valley,3007,7,eps=0.0,hiker,36.0,2,True
False,,180.0,101394.44830394122,984.4631733427815,129.0,21,43,22,14,14,500.0804999963293,rolling,custom,demo_valley,3008,8,eps=0.0,photographer,88.0,2,True
False,,180.0,108923.55285178068,992.4216327934479,126.0,23,42,19,14,14,398.7444999957006,rolling,custom,demo_valley,3009,9,eps=0.0,hiker,76.0,2,True
False,,180.0,100402.49422077475,926.1138796388074,117.0,26,39,13,15,12,489.84990000644757,rolling,custom,demo_valley,3010,10,eps=0.0,injured,50.0,2,True
False,,180.0,99101.90040535851,982.5809572480046,138.0,20,46,26,14,15,388.04139999865583,rolling,custom,demo_valley,3011,11,eps=0.0,photographer,35.0,2,True
False,,180.0,95741.79015030553,932.8475038948139,132.0,22,44,22,16,14,382.9005000025063,rolling,custom,demo_valley,3012,12,eps=0.0,hiker,60.0,2,True
False,,180.0,95468.08730657725,957.3623822279442,138.0,30,46,16,15,14,415.710999991461,rolling,custom,demo_valley,3013,13,eps=0.0,hiker,68.0,2,True
False,,180.0,76351.32441389939,897.4180382762868,142.0,21,47,26,17,15,519.2486999940229,rolling,custom,demo_valley,3014,14,eps=0.0,hiker,58.0,2,True
False,,180.0,91679.19380589516,950.4579476183189,135.0,23,45,22,14,14,257.21059999705176,rolling,custom,demo_valley,3015,15,eps=0.0,photographer,74.0,2,True
False,,180.0,107561.41881244324,998.3083424242495,123.0,20,41,21,14,13,326.1049000029743,rolling,custom,demo_valley,3016,16,eps=0.0,desoriented,35.0,2,True
False,,180.0,86699.50961824684,892.1555973285517,135.0,22,45,23,17,14,496.99480001254415,rolling,custom,demo_valley,3017,17,eps=0.0,hiker,79.0,2,True
True,107.0,180.0,59344.78710403127,591.3651019888159,82.0,18,27,9,8,9,467.5684999983787,rolling,custom,demo_valley,3018,18,eps=0.0,desoriented,37.0,2,True
False,,180.0,96164.40169983066,955.2107685242057,132.0,25,44,19,15,14,340.4081999988193,rolling,custom,demo_valley,3019,19,eps=0.0,hiker,90.0,2,True
False,,180.0,120559.34840686417,989.8792410930687,102.0,19,34,15,15,11,468.9268000092852,rolling,custom,demo_valley,3020,20,eps=0.0,hiker,73.0,2,True
True,149.0,180.0,83076.58736110858,810.2356856084998,111.0,19,36,17,12,13,421.77559999890946,rolling,custom,demo_valley,3021,21,eps=0.0,photographer,74.0,2,True
False,,180.0,107505.63102746957,1014.536717620621,129.0,12,43,31,13,13,478.88609999972687,rolling,custom,demo_valley,3022,22,eps=0.0,photographer,87.0,2,True
False,,180.0,70498.66691763925,884.3868524193118,147.0,22,49,27,17,16,454.5185000069978,rolling,custom,demo_valley,3023,23,eps=0.0,hiker,60.0,2,True
