arm,n_missions,DSR,EDT_censored,EDT_median,EDT_conditional,P(T<=30),P(T<=60),P(T<=90),P(T<=120),P(T<=180),mean_flight_distance_m,mean_energy_wh,mean_search_minutes,mean_unique_cells_searched,mean_redundant_search_ops,mean_n_replans,mean_replan_ms_total,mean_n_swaps
datadriven,8.0,0.0,180.0,180.0,,0.0,0.0,0.0,0.0,1.0,99269.10736628216,968.9524378001572,129.875,23.5,19.75,13.875,442.9536879033549,15.0
distance,8.0,0.375,135.75,180.0,62.0,0.125,0.25,0.25,0.25,1.0,69821.03130607808,716.5062996985907,101.625,19.375,14.25,10.875,383.673662392539,10.625
gis,8.0,0.5,115.75,155.0,51.5,0.25,0.25,0.375,0.375,1.0,61278.45484502442,615.4739421839645,86.75,18.5,10.125,8.625,370.48274972767103,8.875
uniform,8.0,0.0,180.0,180.0,,0.0,0.0,0.0,0.0,1.0,98779.02786240744,938.8539286905319,126.75,24.5,17.75,13.125,449.59747456596233,16.5
