18:56:45 INFO generating 250 training incidents ...
18:56:51 INFO saved C:\Users\ADMIN\Downloads\Khóa luận\uav-sar\data\models\demo_valley_pmr.npz
18:56:51 INFO evaluating on 80 held-out incidents ...
18:58:06 INFO arm eps=0.0                    rep  7/24 det=False t=180
18:58:06 INFO arm eps=0.0                    rep  8/24 det=False t=180
18:58:07 INFO arm eps=0.0                    rep  9/24 det=False t=180
18:58:08 INFO arm eps=0.0                    rep 10/24 det=False t=180
18:58:09 INFO arm eps=0.0                    rep 11/24 det=False t=180
18:58:09 INFO arm eps=0.0                    rep 12/24 det=False t=180
18:58:10 INFO arm eps=0.0                    rep 13/24 det=False t=180
18:58:11 INFO arm eps=0.0                    rep 14/24 det=False t=180
18:58:11 INFO arm eps=0.0                    rep 15/24 det=False t=180
18:58:12 INFO arm eps=0.0                    rep 16/24 det=False t=180
18:58:12 INFO arm eps=0.0                    rep 17/24 det=False t=180
18:58:13 INFO arm eps=0.0                    rep 18/24 det=False t=180
18:58:14 INFO arm eps=0.0                    rep 19/24 det=True t=107
18:58:14 INFO arm eps=0.0                    rep 20/24 det=False t=180
18:58:15 INFO arm eps=0.0                    rep 21/24 det=False t=180
18:58:16 INFO arm eps=0.0                    rep 22/24 det=True t=149
18:58:17 INFO arm eps=0.0                    rep 23/24 det=False t=180
18:58:17 INFO arm eps=0.0                    rep 24/24 det=False t=180
18:58:18 INFO arm eps=0.1                    rep  1/24 det=False t=180
18:58:19 INFO arm eps=0.1                    rep  2/24 det=False t=180
18:58:19 INFO arm eps=0.1                    rep  3/24 det=False t=180
18:58:20 INFO arm eps=0.1                    rep  4/24 det=False t=180
18:58:21 INFO arm eps=0.1                    rep  5/24 det=False t=180
18:58:22 INFO arm eps=0.1                    rep  6/24 det=False t=180
18:58:22 INFO arm eps=0.1                    rep  7/24 det=False t=180
18:58:23 INFO arm eps=0.1                    rep  8/24 det=True t=50
18:58:24 INFO arm eps=0.1                    rep  9/24 det=False t=180
18:58:24 INFO arm eps=0.1                    rep 10/24 det=False t=180
18:58:25 INFO arm eps=0.1                    rep 11/24 det=False t=180
18:58:26 INFO arm eps=0.1                    rep 12/24 det=False t=180
18:58:26 INFO arm eps=0.1                    rep 13/24 det=False t=180
18:58:27 INFO arm eps=0.1                    rep 14/24 det=True t=110
18:58:28 INFO arm eps=0.1                    rep 15/24 det=False t=180
18:58:28 INFO arm eps=0.1                    rep 16/24 det=False t=180
18:58:29 INFO arm eps=0.1                    rep 17/24 det=False t=180
18:58:30 INFO arm eps=0.1                    rep 18/24 det=False t=180
18:58:30 INFO arm eps=0.1                    rep 19/24 det=True t=105
18:58:31 INFO arm eps=0.1                    rep 20/24 det=False t=180
18:58:32 INFO arm eps=0.1                    rep 21/24 det=False t=180
18:58:32 INFO arm eps=0.1                    rep 22/24 det=False t=180
18:58:33 INFO arm eps=0.1                    rep 23/24 det=False t=180
18:58:34 INFO arm eps=0.1                    rep 24/24 det=False t=180
18:58:34 INFO arm eps=0.2                    rep  1/24 det=False t=180
18:58:35 INFO arm eps=0.2                    rep  2/24 det=False t=180
18:58:36 INFO arm eps=0.2                    rep  3/24 det=False t=180
18:58:36 INFO arm eps=0.2                    rep  4/24 det=False t=180
18:58:37 INFO arm eps=0.2                    rep  5/24 det=False t=180
18:58:38 INFO arm eps=0.2                    rep  6/24 det=False t=180
18:58:39 INFO arm eps=0.2                    rep  7/24 det=False t=180
18:58:39 INFO arm eps=0.2                    rep  8/24 det=True t=50
18:58:40 INFO arm eps=0.2                    rep  9/24 det=False t=180
18:58:40 INFO arm eps=0.2                    rep 10/24 det=True t=88
18:58:41 INFO arm eps=0.2                    rep 11/24 det=False t=180
18:58:42 INFO arm eps=0.2                    rep 12/24 det=False t=180
18:58:42 INFO arm eps=0.2                    rep 13/24 det=False t=180
18:58:43 INFO arm eps=0.2                    rep 14/24 det=True t=81
18:58:43 INFO arm eps=0.2                    rep 15/24 det=False t=180
18:58:44 INFO arm eps=0.2                    rep 16/24 det=False t=180
18:58:44 INFO arm eps=0.2                    rep 17/24 det=False t=180
18:58:45 INFO arm eps=0.2                    rep 18/24 det=False t=180
18:58:46 INFO arm eps=0.2                    rep 19/24 det=False t=180
18:58:47 INFO arm eps=0.2                    rep 20/24 det=False t=180
18:58:47 INFO arm eps=0.2                    rep 21/24 det=False t=180
18:58:48 INFO arm eps=0.2                    rep 22/24 det=False t=180
18:58:49 INFO arm eps=0.2                    rep 23/24 det=False t=180
18:58:49 INFO arm eps=0.2                    rep 24/24 det=False t=180
18:58:50 INFO arm eps=0.4                    rep  1/24 det=False t=180
18:58:51 INFO arm eps=0.4                    rep  2/24 det=False t=180
18:58:51 INFO arm eps=0.4                    rep  3/24 det=False t=180
18:58:52 INFO arm eps=0.4                    rep  4/24 det=False t=180
18:58:53 INFO arm eps=0.4                    rep  5/24 det=False t=180
18:58:53 INFO arm eps=0.4                    rep  6/24 det=False t=180
18:58:54 INFO arm eps=0.4                    rep  7/24 det=False t=180
18:58:55 INFO arm eps=0.4                    rep  8/24 det=False t=180
18:58:56 INFO arm eps=0.4                    rep  9/24 det=False t=180
18:58:56 INFO arm eps=0.4                    rep 10/24 det=False t=180
18:58:57 INFO arm eps=0.4                    rep 11/24 det=False t=180
18:58:58 INFO arm eps=0.4                    rep 12/24 det=False t=180
18:58:59 INFO arm eps=0.4                    rep 13/24 det=False t=180
18:58:59 INFO arm eps=0.4                    rep 14/24 det=True t=129
18:59:00 INFO arm eps=0.4                    rep 15/24 det=False t=180
18:59:00 INFO arm eps=0.4                    rep 16/24 det=False t=180
18:59:01 INFO arm eps=0.4                    rep 17/24 det=False t=180
18:59:02 INFO arm eps=0.4                    rep 18/24 det=False t=180
18:59:03 INFO arm eps=0.4                    rep 19/24 det=False t=180
18:59:04 INFO arm eps=0.4                    rep 20/24 det=False t=180
18:59:04 INFO arm eps=0.4                    rep 21/24 det=False t=180
18:59:05 INFO arm eps=0.4                    rep 22/24 det=False t=180
18:59:06 INFO arm eps=0.4                    rep 23/24 det=False t=180
18:59:06 INFO arm eps=0.4                    rep 24/24 det=False t=180
18:59:07 INFO arm eps=0.6                    rep  1/24 det=False t=180
18:59:08 INFO arm eps=0.6                    rep  2/24 det=False t=180
18:59:09 INFO arm eps=0.6                    rep  3/24 det=False t=180
18:59:09 INFO arm eps=0.6                    rep  4/24 det=False t=180
18:59:10 INFO arm eps=0.6                    rep  5/24 det=False t=180
18:59:11 INFO arm eps=0.6                    rep  6/24 det=False t=180
18:59:11 INFO arm eps=0.6                    rep  7/24 det=False t=180
18:59:12 INFO arm eps=0.6                    rep  8/24 det=False t=180
18:59:13 INFO arm eps=0.6                    rep  9/24 det=False t=180
18:59:13 INFO arm eps=0.6                    rep 10/24 det=True t=136
18:59:14 INFO arm eps=0.6                    rep 11/24 det=False t=180
18:59:15 INFO arm eps=0.6                    rep 12/24 det=False t=180
18:59:16 INFO arm eps=0.6                    rep 13/24 det=False t=180
18:59:16 INFO arm eps=0.6                    rep 14/24 det=True t=103
18:59:17 INFO arm eps=0.6                    rep 15/24 det=False t=180
18:59:17 INFO arm eps=0.6                    rep 16/24 det=False t=180
18:59:18 INFO arm eps=0.6                    rep 17/24 det=False t=180
18:59:18 INFO arm eps=0.6                    rep 18/24 det=False t=180
18:59:19 INFO arm eps=0.6                    rep 19/24 det=False t=180
18:59:20 INFO arm eps=0.6                    rep 20/24 det=False t=180
18:59:21 INFO arm eps=0.6                    rep 21/24 det=False t=180
18:59:21 INFO arm eps=0.6                    rep 22/24 det=False t=180
18:59:22 INFO arm eps=0.6                    rep 23/24 det=False t=180
18:59:23 INFO arm eps=0.6                    rep 24/24 det=False t=180
18:59:23 INFO arm eps=0.8                    rep  1/24 det=False t=180
18:59:24 INFO arm eps=0.8                    rep  2/24 det=False t=180
18:59:25 INFO arm eps=0.8                    rep  3/24 det=False t=180
18:59:25 INFO arm eps=0.8                    rep  4/24 det=False t=180
18:59:26 INFO arm eps=0.8                    rep  5/24 det=False t=180
18:59:27 INFO arm eps=0.8                    rep  6/24 det=False t=180
18:59:27 INFO arm eps=0.8                    rep  7/24 det=False t=180
18:59:28 INFO arm eps=0.8                    rep  8/24 det=True t=84
18:59:29 INFO arm eps=0.8                    rep  9/24 det=False t=180
18:59:29 INFO arm eps=0.8                    rep 10/24 det=False t=180
18:59:30 INFO arm eps=0.8                    rep 11/24 det=False t=180
18:59:31 INFO arm eps=0.8                    rep 12/24 det=False t=180
18:59:31 INFO arm eps=0.8                    rep 13/24 det=False t=180
18:59:32 INFO arm eps=0.8                    rep 14/24 det=False t=180
18:59:33 INFO arm eps=0.8                    rep 15/24 det=False t=180
18:59:33 INFO arm eps=0.8                    rep 16/24 det=False t=180
18:59:34 INFO arm eps=0.8                    rep 17/24 det=False t=180
18:59:34 INFO arm eps=0.8                    rep 18/24 det=False t=180
18:59:35 INFO arm eps=0.8                    rep 19/24 det=False t=180
18:59:36 INFO arm eps=0.8                    rep 20/24 det=False t=180
18:59:37 INFO arm eps=0.8                    rep 21/24 det=False t=180
18:59:37 INFO arm eps=0.8                    rep 22/24 det=False t=180
18:59:38 INFO arm eps=0.8                    rep 23/24 det=False t=180
18:59:39 INFO arm eps=0.8                    rep 24/24 det=False t=180
18:59:40 INFO arm eps=1.0                    rep  1/24 det=False t=180
18:59:40 INFO arm eps=1.0                    rep  2/24 det=False t=180
18:59:41 INFO arm eps=1.0                    rep  3/24 det=False t=180
18:59:42 INFO arm eps=1.0                    rep  4/24 det=False t=180
18:59:43 INFO arm eps=1.0                    rep  5/24 det=False t=180
18:59:43 INFO arm eps=1.0                    rep  6/24 det=False t=180
18:59:44 INFO arm eps=1.0                    rep  7/24 det=False t=180
18:59:45 INFO arm eps=1.0                    rep  8/24 det=True t=89
18:59:45 INFO arm eps=1.0                    rep  9/24 det=False t=180
18:59:46 INFO arm eps=1.0                    rep 10/24 det=False t=180
18:59:47 INFO arm eps=1.0                    rep 11/24 det=False t=180
18:59:47 INFO arm eps=1.0                    rep 12/24 det=False t=180
18:59:48 INFO arm eps=1.0                    rep 13/24 det=False t=180
18:59:49 INFO arm eps=1.0                    rep 14/24 det=False t=180
18:59:50 INFO arm eps=1.0                    rep 15/24 det=False t=180
18:59:50 INFO arm eps=1.0                    rep 16/24 det=False t=180
18:59:50 INFO arm eps=1.0                    rep 17/24 det=False t=180
18:59:51 INFO arm eps=1.0                    rep 18/24 det=False t=180
18:59:52 INFO arm eps=1.0                    rep 19/24 det=False t=180
18:59:53 INFO arm eps=1.0                    rep 20/24 det=False t=180
18:59:53 INFO arm eps=1.0                    rep 21/24 det=False t=180
18:59:54 INFO arm eps=1.0                    rep 22/24 det=False t=180
18:59:55 INFO arm eps=1.0                    rep 23/24 det=False t=180
18:59:55 INFO arm eps=1.0                    rep 24/24 det=False t=180
18:59:55 INFO compared 6 arm pairs over 2 metrics
18:59:57 INFO arm pq|mixed|veg1.0            rep  1/24 det=True t=9
18:59:58 INFO arm pq|mixed|veg1.0            rep  2/24 det=False t=180
18:59:59 INFO arm pq|mixed|veg1.0            rep  3/24 det=False t=180
19:00:00 INFO arm pq|mixed|veg1.0            rep  4/24 det=False t=180
19:00:00 INFO arm pq|mixed|veg1.0            rep  5/24 det=False t=180
19:00:01 INFO arm pq|mixed|veg1.0            rep  6/24 det=False t=180
19:00:01 INFO arm pq|mixed|veg1.0            rep  7/24 det=False t=180
