arm,k,n,detected_est,detected_ci_lo,detected_ci_hi
A,20,100,0.2,0.13336693328668578,0.28882916567197114
B,18,100,0.18,0.11700225494828996,0.266673583940944
C,16,100,0.16,0.10095288485025491,0.24420269396955616
D,23,100,0.23,0.15843265875427567,0.3215438303085155
