detected,detect_time_min,horizon_min,flight_distance_m,energy_wh,search_minutes,unique_cells_searched,total_search_ops,redundant_search_ops,n_swaps,n_replans,replan_ms_total,planner,initial_model,area_name,seed,replicate,arm,target_profile,elapsed_before_min,n_uavs,moving_target
False,,180.0,82365.26818115928,907.2022995807463,138.0,17,46,29,17,15,373.20700000236684,rolling,datadriven,demo_valley,4005,5,p |mixed|veg1.0,photographer,56.0,2,True
False,,180.0,99146.117522204,948.1935609983943,135.0,22,45,23,14,14,278.1109000025026,rolling,datadriven,demo_valley,4006,6,p |mixed|veg1.0,hiker,35.0,2,True
False,,180.0,87027.52261165106,907.6217750749886,138.0,24,46,22,16,15,385.09850000264123,rolling,datadriven,demo_valley,4007,7,p |mixed|veg1.0,desoriented,88.0,2,True
False,,180.0,100394.50917935483,934.161596633676,123.0,22,41,19,16,13,309.22439999540074,rolling,datadriven,demo_valley,4008,8,p |mixed|veg1.0,injured,72.0,2,True
False,,180.0,94774.2911053029,928.3425585552649,129.0,18,43,25,15,14,442.5234999989698,rolling,datadriven,demo_valley,4009,9,p |mixed|veg1.0,photographer,49.0,2,True
True,67.0,180.0,34213.731700919554,344.05241982015207,53.0,12,17,5,5,6,298.8435000006575,rolling,datadriven,demo_valley,4010,10,p |mixed|veg1.0,photographer,47.0,2,True
False,,180.0,95372.20264742411,922.8865057866828,135.0,27,45,18,14,14,354.30279999673076,rolling,datadriven,demo_valley,4011,11,p |mixed|veg1.0,hiker,37.0,2,True
False,,180.0,76258.39811920474,867.2911446042792,143.0,30,47,17,16,15,362.13680000855675,rolling,datadriven,demo_valley,4012,12,p |mixed|veg1.0,desoriented,67.0,2,True
False,,180.0,85633.7024554869,916.1165705240164,141.0,25,47,22,16,16,580.9616000024107,rolling,datadriven,demo_valley,4013,13,p |mixed|veg1.0,injured,46.0,2,True
False,,180.0,77388.18606298674,881.6523127021425,143.0,15,47,32,16,14,934.7152999980608,rolling,datadriven,demo_valley,4014,14,p |mixed|veg1.0,photographer,32.0,2,True
False,,180.0,90693.63430621041,921.8093009791291,138.0,25,46,21,15,14,388.96059999569843,rolling,datadriven,demo_valley,4015,15,p |mixed|veg1.0,injured,81.0,2,True
False,,180.0,96374.6874290315,920.2591587098505,126.0,25,42,17,17,14,554.8426000004838,rolling,datadriven,demo_valley,4016,16,p |mixed|veg1.0,injured,57.0,2,True
True,141.0,180.0,78388.31946277719,726.5668532873767,100.0,17,33,16,13,12,520.4966000028435,rolling,datadriven,demo_valley,4017,17,p |mixed|veg1.0,injured,66.0,2,True
True,87.0,180.0,37976.07842210779,441.7013656785914,75.0,10,24,14,7,7,469.61689999989176,rolling,datadriven,demo_valley,4018,18,p |mixed|veg1.0,photographer,73.0,2,True
False,,180.0,86860.20891345269,907.5260136250752,138.0,24,46,22,16,15,416.49649999453686,rolling,datadriven,demo_valley,4019,19,p |mixed|veg1.0,hiker,43.0,2,True
True,39.0,180.0,17121.394647401128,193.23181090636135,33.0,6,11,5,3,3,235.45670000021346,rolling,datadriven,demo_valley,4020,20,p |mixed|veg1.0,hiker,40.0,2,True
False,,180.0,93926.57238693576,930.384093029739,138.0,35,46,11,14,15,334.1403000013088,rolling,datadriven,demo_valley,4021,21,p |mixed|veg1.0,hiker,82.0,2,True
False,,180.0,85586.27579461536,884.853726520897,135.0,17,45,28,16,14,469.2493000011382,rolling,datadriven,demo_valley,4022,22,p |mixed|veg1.0,photographer,80.0,2,True
False,,180.0,76306.58391043621,898.2356342208541,150.0,19,50,31,15,15,497.23700000049575,rolling,datadriven,demo_valley,4023,23,p |mixed|veg1.0,photographer,52.0,2,True
False,,180.0,83908.9443103814,861.7810502516803,138.0,20,46,26,17,14,358.77690000324947,rolling,datadriven,demo_valley,4000,0,pq|homRGB|veg1.0,injured,38.0,2,True
False,,180.0,86232.7639018289,921.4514454002065,153.0,11,51,40,15,16,518.206700000519,rolling,datadriven,demo_valley,4001,1,pq|homRGB|veg1.0,desoriented,55.0,2,True
False,,180.0,94454.54741944102,909.5958046534694,138.0,19,46,27,16,15,467.6035999955275,rolling,datadriven,demo_valley,4002,2,pq|homRGB|veg1.0,hiker,87.0,2,True
False,,180.0,94695.65971845463,900.6614105938311,132.0,11,44,33,17,14,504.1015000006155,rolling,datadriven,demo_valley,4003,3,pq|homRGB|veg1.0,photographer,69.0,2,True
False,,180.0,85031.27853691668,915.9595048698839,150.0,12,50,38,16,16,426.9631999950434,rolling,datadriven,demo_valley,4004,4,pq|homRGB|veg1.0,photographer,84.0,2,True
False,,180.0,67639.53420241873,856.8427469686271,159.0,8,53,45,17,16,454.8133000052985,rolling,datadriven,demo_valley,4005,5,pq|homRGB|veg1.0,photographer,56.0,2,True
False,,180.0,86129.13625438348,888.5970863586501,144.0,18,48,30,15,15,341.6996999958428,rolling,datadriven,demo_valley,4006,6,pq|homRGB|veg1.0,hiker,35.0,2,True
False,,180.0,84782.81354504479,870.4174677449687,138.0,21,46,25,17,15,418.53140000239364,rolling,datadriven,demo_valley,4007,7,pq|homRGB|veg1.0,desoriented,88.0,2,True
False,,180.0,76385.26009203318,861.0274362796104,150.0,24,50,26,16,15,379.1624999985288,rolling,datadriven,demo_valley,4008,8,pq|homRGB|veg1.0,injured,72.0,2,True
False,,180.0,84540.7781907349,904.9047832244655,150.0,11,50,39,16,17,497.7284999895346,rolling,datadriven,demo_valley,4009,9,pq|homRGB|veg1.0,photographer,49.0,2,True
False,,180.0,83444.50595970475,896.5391904056594,150.0,10,50,40,16,15,454.3391999986852,rolling,datadriven,demo_valley,4010,10,pq|homRGB|veg1.0,photographer,47.0,2,True
False,,180.0,92687.60081441994,925.0472179014158,144.0,12,48,36,15,15,371.508599997469,rolling,datadriven,demo_valley,4011,11,pq|homRGB|veg1.0,hiker,37.0,2,True
False,,180.0,92315.5746197446,886.7352186540531,132.0,20,44,24,16,14,316.0445000148684,rolling,datadriven,demo_valley,4012,12,pq|homRGB|veg1.0,desoriented,67.0,2,True
True,175.0,180.0,89230.05946081842,862.7673989609813,130.0,20,43,23,17,14,439.9416999995083,rolling,datadriven,demo_valley,4013,13,pq|homRGB|veg1.0,injured,46.0,2,True
False,,180.0,68119.53050398242,858.3179291493161,159.0,5,53,48,17,16,449.4923000011113,rolling,datadriven,demo_valley,4014,14,pq|homRGB|veg1.0,photographer,32.0,2,True
False,,180.0,89914.16160325237,919.6088377269492,144.0,26,48,22,15,16,396.7464000033942,rolling,datadriven,demo_valley,4015,15,pq|homRGB|veg1.0,injured,81.0,2,True
False,,180.0,73571.66853624443,839.5307167335278,147.0,27,49,22,17,15,541.6889000034644,rolling,datadriven,demo_valley,4016,16,pq|homRGB|veg1.0,injured,57.0,2,True
False,,180.0,96700.37058136993,918.5452076941988,135.0,20,45,25,16,14,531.9714000033855,rolling,datadriven,demo_valley,4017,17,pq|homRGB|veg1.0,injured,66.0,2,True
False,,180.0,68218.30183566146,859.7675839472777,159.0,5,53,48,17,17,630.6027000009635,rolling,datadriven,demo_valley,4018,18,pq|homRGB|veg1.0,photographer,73.0,2,True
False,,180.0,92196.29136995754,867.7052285044399,126.0,17,42,25,17,12,496.8167999977595,rolling,datadriven,demo_valley,4019,19,pq|homRGB|veg1.0,hiker,43.0,2,True
