arm,n_missions,DSR,EDT_censored,EDT_median,EDT_conditional,P(T<=30),P(T<=60),P(T<=90),P(T<=120),P(T<=180),mean_flight_distance_m,mean_energy_wh,mean_search_minutes,mean_unique_cells_searched,mean_redundant_search_ops,mean_n_replans,mean_replan_ms_total,mean_n_swaps,k,n,detected_ci_lo,detected_ci_hi
p |homRGB|veg1.0,24.0,0.125,160.04166666666666,180.0,20.333333333333332,0.08333333333333333,0.125,0.125,0.125,1.0,77544.84314230991,787.1383208145227,125.75,17.375,24.458333333333332,13.375,411.55684583247876,13.916666666666666,3,24,0.043443340766555705,0.31003881288351376
p |mixed|veg1.0,24.0,0.20833333333333334,159.75,180.0,82.8,0.0,0.041666666666666664,0.16666666666666666,0.16666666666666666,1.0,78810.59483745937,811.0257048375634,121.83333333333333,20.708333333333332,19.75,12.916666666666666,428.39886666683924,13.75,5,24,0.09244825346874064,0.4047045327035356
pq|homRGB|veg1.0,24.0,0.041666666666666664,179.79166666666666,180.0,175.0,0.0,0.0,0.0,0.0,1.0,83917.24157418287,887.4128305528264,144.95833333333334,15.083333333333334,33.208333333333336,15.166666666666666,456.55347500087373,16.166666666666668,1,24,0.007393456157134015,0.20241806497072865
pq|mixed|veg1.0,24.0,0.16666666666666666,160.375,180.0,62.25,0.08333333333333333,0.08333333333333333,0.125,0.125,1.0,77380.28649681013,828.830717442194,125.04166666666667,20.708333333333332,20.875,13.125,411.167720834366,13.833333333333334,4,24,0.06678676323880131,0.3585307066723715
