control,treatment,metric,n_pairs,mean_ctrl,mean_trt,diff,ci_lo,ci_hi,p_boot,p_mcnemar
A,B,detected,100,0.2,0.18,-0.02,-0.13,0.09,0.7856,0.855535551905632
A,B,EDT_censored,100,162.52,158.83,-3.69,-15.980500000000001,8.170249999999996,0.5748,
A,C,detected,100,0.2,0.16,-0.04,-0.14,0.06,0.4884,0.5715881884098053
A,C,EDT_censored,100,162.52,162.37,-0.15,-11.700249999999999,10.480499999999994,0.956,
A,D,detected,100,0.2,0.23,0.03,-0.08,0.14,0.66,0.720100131817162
A,D,EDT_censored,100,162.52,155.05,-7.47,-19.67,4.17,0.2244,
B,D,detected,100,0.18,0.23,0.05,-0.05,0.15,0.3712,0.44206833839416504
B,D,EDT_censored,100,158.83,155.05,-3.78,-16.35,8.77124999999998,0.536,
