arm,n_missions,DSR,EDT_censored,EDT_median,EDT_conditional,P(T<=30),P(T<=60),P(T<=90),P(T<=120),P(T<=180),mean_flight_distance_m,mean_energy_wh,mean_search_minutes,mean_unique_cells_searched,mean_redundant_search_ops,mean_n_replans,mean_replan_ms_total,mean_n_swaps
datadriven,24.0,0.25,158.33333333333334,180.0,93.33333333333333,0.08333333333333333,0.08333333333333333,0.125,0.125,1.0,79613.62333824474,822.5332956650295,119.16666666666667,22.458333333333332,17.083333333333332,12.583333333333334,425.9395416655707,13.333333333333334
distance,24.0,0.2916666666666667,145.375,180.0,61.285714285714285,0.125,0.16666666666666666,0.16666666666666666,0.20833333333333334,1.0,74176.04314223117,762.0512987413227,109.0,21.583333333333332,14.583333333333334,11.458333333333334,405.53917916611226,12.083333333333334
gis,24.0,0.375,145.375,180.0,87.66666666666667,0.125,0.125,0.16666666666666666,0.20833333333333334,1.0,71679.12054483786,758.1615410473945,112.54166666666667,24.125,13.208333333333334,11.5,421.48660833462753,12.0
uniform,24.0,0.041666666666666664,179.45833333333334,180.0,167.0,0.0,0.0,0.0,0.0,1.0,96973.53855407839,933.6023244330778,128.625,26.583333333333332,16.25,13.583333333333334,455.03514166478,16.125
