arm,k,n,detected_est,detected_ci_lo,detected_ci_hi
datadriven,6,24,0.25,0.11999366221454495,0.4489944402188346
distance,7,24,0.2916666666666667,0.14914648188718538,0.49167693680729774
gis,9,24,0.375,0.2115936754927669,0.5729003757239229
uniform,1,24,0.041666666666666664,0.007393456157134015,0.20241806497072865
