n_missions,DSR,EDT_censored,EDT_median,EDT_conditional,P(T<=30),P(T<=60),P(T<=90),P(T<=120),P(T<=180),mean_flight_distance_m,mean_energy_wh,mean_search_minutes,mean_unique_cells_searched,mean_redundant_search_ops,mean_n_replans,mean_replan_ms_total,mean_n_swaps,eps,DSR_ci_lo,DSR_ci_hi
100.0,0.12,168.94,180.0,87.83333333333333,0.03,0.04,0.05,0.08,1.0,86701.87778089261,883.6631422072809,126.17,22.21,19.76,13.4,440.9535979993234,14.4,0.0,0.06999406433989022,0.19812099434107514
100.0,0.14,167.73,180.0,92.35714285714286,0.02,0.03,0.05,0.11,1.0,87248.00159884563,881.1837883137613,124.4,21.95,19.43,13.23,433.7011779979548,14.3,0.1,0.08526343656521096,0.2213718821851773
100.0,0.14,166.25,180.0,81.78571428571429,0.02,0.03,0.08,0.12,1.0,87525.65993364113,875.5477615412409,122.36,21.73,18.97,12.95,429.46497199976875,14.08,0.2,0.08526343656521096,0.2213718821851773
100.0,0.13,167.91,180.0,87.0,0.03,0.04,0.04,0.1,1.0,90894.55390471785,892.3674140026254,122.39,22.42,18.3,13.02,427.1759889999703,14.12,0.4,0.07757167424012741,0.2098035144755494
100.0,0.14,169.58,180.0,105.57142857142857,0.0,0.03,0.06,0.09,1.0,99351.21894901364,916.5771399523256,116.22,23.43,15.24,12.33,421.31444399965403,14.16,0.6,0.08526343656521096,0.2213718821851773
100.0,0.07,173.44,180.0,86.28571428571429,0.01,0.01,0.04,0.06,1.0,104655.60968729915,941.3372181970378,116.2,24.33,14.35,12.3,421.1663370017777,14.75,0.8,0.03431926104811264,0.1374951474592955
100.0,0.1,168.25,180.0,62.5,0.04,0.05,0.08,0.09,1.0,90380.65927947854,872.723676880492,120.82,24.05,16.13,12.78,439.4079289995898,15.23,1.0,0.0552291370345503,0.17436566157699215
