control,treatment,metric,n_pairs,mean_ctrl,mean_trt,diff,ci_lo,ci_hi,p_boot,p_mcnemar
uniform,distance,detected,24,0.041666666666666664,0.2916666666666667,0.25,0.08333333333333333,0.4166666666666667,0.0008,0.03125
uniform,distance,EDT_censored,24,179.45833333333334,145.375,-34.083333333333336,-59.54479166666666,-12.208333333333334,0.0004,
uniform,gis,detected,24,0.041666666666666664,0.375,0.3333333333333333,0.16666666666666666,0.5416666666666666,0.0004,0.0078125
uniform,gis,EDT_censored,24,179.45833333333334,145.375,-34.083333333333336,-60.083333333333336,-12.708333333333334,0.0004,
uniform,datadriven,detected,24,0.041666666666666664,0.25,0.20833333333333334,0.0,0.4166666666666667,0.0592,0.125
uniform,datadriven,EDT_censored,24,179.45833333333334,158.33333333333334,-21.125,-43.209375,-3.2916666666666665,0.01,
